P241	Q705738	Q9212
P2643	Q1473615	Q23662428
P749	Q81162	Q34433
P1853	Q213512	Q19831454
P166	Q47664	Q159661
P161	Q32450	Q509013
P106	Q447669	Q10798782
P509	Q188482	Q476921
P106	Q41163	Q2259451
P2293_P459_P459	Q181923	Q18053364	Q1098876	Q23190853
P106	Q208408	Q10349745
P161	Q53922	Q313653
P106	Q185122	Q10798782
P106	Q232902	Q10800557
P1343	Q13894	Q17378135
P106	Q40299	Q10798782
P2293_P459_P459	Q11085	Q18033776	Q1098876	Q23190853
P2643	Q1781094	Q23663131
P1884	Q189226	Q202466
P106	Q1685654	Q28389
P161	Q3984794	Q3498600
P1340	Q206833	Q17122834
P106	Q242329	Q28389
P26	Q232047	Q1190150
P106	Q53004	Q3282637
P31	Q681025	Q23002039
P106	Q482907	Q33231
P161	Q321423	Q198684
P31	Q23609	Q5398426
P463	Q49167	Q647039
P21	Q93157	Q6581097
P21	Q485557	Q6581072
P21	Q333443	Q6581097
P1343	Q7302	Q51955019
P31	Q218503	Q5
P106	Q286890	Q36180
P800	Q80135	Q261140
P106	Q5879	Q372436
P106	Q303957	Q3282637
P166	Q8023	Q2029246
P31	Q3045762	Q618779
P31	Q10608114	Q17156793
P106	Q294583	Q10800557
P1303	Q4612	Q1144761
P31	Q4215834	Q4164871
P166	Q229535	Q1369077
P31	Q14537	Q5
P264	Q130799	Q202440
P1411	Q633	Q953746
P106	Q722042	Q1320883
P2643	Q49206	Q23334765
P355	Q43380	Q5508109
P1411	Q633	Q6314105
P1411	Q1071958	Q3025728
P509	Q232511	Q47912
P463	Q157808	Q655015
P2293_P459_P459	Q11081	Q14904550	Q1098876	Q23190853
P2293_P459_P459	Q128581	Q18047762	Q1098876	Q23190853
P5008	Q6722	Q5460604
P166	Q313185	Q3910469
P106	Q25120	Q6625963
P161	Q19570	Q1750774
P2643	Q842909	Q23623487
P106	Q23301	Q7622988
P166	Q24829	Q727328
P106	Q491775	Q18545066
P106	Q282722	Q488205
P2643	Q332498	Q23662432
P1303	Q435681	Q17172850
P161	Q824192	Q237648
P106	Q3441794	Q3282637
P106	Q158250	Q36180
P2643	Q1191344	Q23623483
P21	Q299309	Q6581097
P412	Q58735	Q30903
P69	Q345325	Q174710
P31	Q2544573	Q5
P1853	Q2707888	Q19831453
P106	Q42229	Q10798782
P31	Q3246315	Q28640
P166	Q5112078	Q1179189
P2293_P459_P459	Q12174	Q18045382	Q1098876	Q23190853
P1303	Q5235388	Q6607
P264	Q251287	Q277626
P106	Q232511	Q10798782
P1411_P1686	Q53001	Q645595	Q972787
P1303	Q316454	Q6607
P166	Q214601	Q1179189
P31	Q49120	Q23002054
P264	Q155412	Q664167
P106	Q7817415	Q3282637
P106	Q3157185	Q3282637
P31	Q527462	Q5
P106	Q365844	Q578109
P463	Q4614	Q19861084
P31	Q543729	Q223703
P2643	Q1111261	Q23662734
P2643	Q1623314	Q23623487
P106	Q1379980	Q3282637
P161	Q19570	Q234144
P2293_P459_P459	Q389735	Q18036152	Q1098876	Q23190853
P31	Q76473	Q5420001
P1303	Q44648	Q17172850
P1066	Q36949	Q297945
P21	Q25186	Q6581097
P161	Q152178	Q211566
P166	Q19673	Q2611552
P2643	Q1140542	Q23622825
P463	Q492318	Q4810036
P69	Q317516	Q1150105
P463	Q1124	Q218868
P31	Q229234	Q5
P106	Q251144	Q1415090
P106	Q2642437	Q36180
P106	Q313039	Q10798782
P607	Q180338	Q714777
P21	Q540655	Q6581097
P106	Q316454	Q486748
P106	Q976176	Q214917
P31	Q1797448	Q23002054
P21	Q720723	Q6581097
P106	Q8011	Q593644
P166	Q153018	Q10905334
P31	Q6066272	Q5
P21	Q471103	Q6581097
P31	Q83906	Q5
P106	Q365633	Q10800557
P69	Q216221	Q4493503
P2643	Q895401	Q23662432
P361	Q3019365	Q1179189
P106	Q444341	Q628099
P463	Q2599	Q463303
P1050	Q484881	Q11081
P1346_P1686	Q1265702	Q55432	Q223887
P161	Q23558	Q1157743
P106	Q464169	Q10798782
P1411	Q115385	Q1377777
P166	Q9682	Q10905054
P161	Q117396	Q707210
P161_P453	Q321423	Q313918	Q1258789
P2293_P459_P459	Q11081	Q18033531	Q1098876	Q23190853
P106	Q1175691	Q578109
P31	Q298672	Q5
P463	Q770544	Q647039
P31	Q122043	Q227790
P106	Q316641	Q3387717
P69	Q314640	Q4892030
P106	Q133112	Q10800557
P31	Q908708	Q5398426
P2293_P459_P459	Q212961	Q18054393	Q1098876	Q23190853
P161	Q117396	Q60640
P2643	Q115376	Q23662768
P31	Q1185955	Q62078547
P106	Q710334	Q214917
P161	Q189267	Q181490
P106	Q298761	Q33999
P106	Q134180	Q1930187
P31	Q1150316	Q5
P31	Q207922	Q6881511
P161	Q168708	Q3566393
P1346_P1686	Q37922	Q7241	Q2358930
P21	Q37388	Q6581097
P31	Q3196775	Q5
P31	Q310965	Q5
P1411	Q3577037	Q3025728
P31	Q521400	Q5
P161	Q117396	Q229394
P31	Q559549	Q917182
P2293_P459_P459	Q12174	Q18031587	Q1098876	Q23190853
P161	Q56194	Q15834608
P1303	Q122020	Q27939
P106	Q313540	Q486748
P31	Q602866	Q40237
P1303	Q152388	Q5994
P2293_P459_P459	Q181923	Q18045980	Q1098876	Q23190853
P106	Q645399	Q28389
P31	Q7971641	Q23002054
P21	Q452063	Q6581097
P264	Q214039	Q193023
P1303	Q317161	Q9798
P166	Q228747	Q1011547
P2643	Q258943	Q23662432
P21	Q335672	Q6581097
P21	Q3089275	Q6581097
P161	Q32450	Q263433
P2936	Q1191	Q33673
P162	Q1325828	Q24398501
P106	Q240933	Q2259451
P166	Q302762	Q1044427
P106	Q692979	Q2259451
P509	Q1063493	Q12152
P2936	Q1174	Q12953671
P802	Q41585	Q61037
P166	Q8006	Q720434
P21	Q472051	Q6581097
P69	Q6848167	Q457281
P106	Q707336	Q2526255
P106	Q362500	Q2526255
P106	Q311253	Q1930187
P166	Q175078	Q1131356
P161	Q13979	Q2704814
P106	Q299317	Q28389
P2293_P459_P459	Q181257	Q18027984	Q1098876	Q23190853
P106	Q316610	Q170790
P31	Q311723	Q5
P166	Q220883	Q987744
P166	Q180850	Q10762848
P106	Q188668	Q15839134
P607	Q23	Q154697
P161_P453	Q189267	Q230180	Q10318594
P101	Q465695	Q207628
P106	Q377424	Q3282637
P31	Q365090	Q5
P1411	Q3577037	Q7243505
P161	Q168708	Q2336388
P1303	Q34086	Q6607
P161	Q117396	Q117415
P106	Q200768	Q36834
P106	Q298255	Q639669
P161	Q4101775	Q526620
P106	Q234778	Q4610556
P463	Q178848	Q5059850
P106	Q502314	Q578109
P31	Q145245	Q5
P2643	Q1474100	Q23662488
P31	Q15257	Q5
P355	Q9212	Q9219
P21	Q23884	Q6581097
P2293_P459_P459	Q11085	Q18052210	Q1098876	Q23190853
P1340	Q47664	Q17122705
P106	Q2531955	Q1028181
P166_P1346	Q218035	Q7669610	Q1985488
P166	Q173585	Q16661472
P26	Q714610	Q230929
P1346_P1686	Q503034	Q162492	Q160060
P725	Q217679	Q5386105
P2936	Q1193	Q21481876
P106	Q908668	Q2259451
P106	Q939079	Q28389
P69	Q323201	Q1682329
P800	Q218503	Q1345077
P463	Q270532	Q19861084
P26	Q381203	Q108935
P106	Q302762	Q158852
P161_P453	Q152178	Q314427	Q2244406
P31	Q202859	Q5
P1884	Q233054	Q2367101
P106	Q485310	Q33999
P31	Q1109093	Q23002054
P166	Q1387617	Q1044427
P2643	Q178848	Q23622831
P26	Q163263	Q3546016
P725	Q182153	Q374093
P463	Q311655	Q332399
P106	Q706513	Q578109
P161	Q223977	Q351247
P2643	Q664881	Q23662432
P106	Q41594	Q36834
P166_P1346	Q1139454	Q2544859	Q316003
P31	Q1854488	Q615150
P31	Q557880	Q28640
P166	Q491264	Q28470
P106	Q370102	Q10800557
P106	Q2633389	Q33999
P106	Q5608	Q10800557
P463	Q1373347	Q142636
P161	Q23558	Q19866609
P106	Q484523	Q486748
P725	Q210311	Q310367
P2293_P459_P459	Q181257	Q18030567	Q1098876	Q23190853
P463	Q1357891	Q5275906
P166	Q311769	Q857933
P2643	Q1546191	Q23663133
P119	Q253384	Q1625328
P31	Q9219	Q23002039
P31	Q1542186	Q41254
P800	Q8006	Q39946
P1340	Q172303	Q17122705
P106	Q364881	Q1415090
P69	Q2839609	Q665105
P166	Q1685876	Q41254
P463	Q127990	Q19861084
P166	Q312845	Q28950956
P31	Q187832	Q5
P264	Q211094	Q21077
P131	Q559549	Q28271
P161	Q23558	Q2844564
P2643	Q1848657	Q23662432
P264	Q121507	Q664167
P31	Q724695	Q5
P161	Q645597	Q441913
P1411	Q106819	Q1653839
P106	Q4612	Q639669
P2094	Q726080	Q35554451
P106	Q3008	Q9648008
P106	Q35064	Q186360
P1303	Q356487	Q17172850
P69	Q191716	Q49088
P106	Q190386	Q10798782
P1344	Q42267	Q101730
P106	Q8011	Q5403434
P279	Q221668	Q18123741
P425	Q7358	Q47928
P279	Q61285	Q230262
P161	Q147235	Q270638
P1411	Q298255	Q919095
P725	Q804429	Q49547
P166	Q23547	Q1131356
P26	Q560286	Q5981721
P1303	Q354033	Q46185
P264	Q44570	Q1551705
P106	Q344576	Q10798782
P21	Q318249	Q6581097
P161	Q23609	Q262091
P463	Q242717	Q463303
P2643	Q309331	Q23662768
P463	Q364873	Q1339877
P106	Q336018	Q12144794
P106	Q299190	Q2259451
P166	Q55407	Q932650
P166	Q55800	Q1150306
P31	Q3019364	Q1179189
P1411	Q115385	Q128649
P106	Q155079	Q2252262
P106	Q336640	Q36834
P31	Q1388111	Q5
P31	Q229349	Q5
P106	Q2632	Q36834
P69	Q180975	Q81162
P161	Q168708	Q449209
P5008	Q726	Q5460604
P2936	Q1186	Q5575236
P106	Q29086	Q2526255
P106	Q286777	Q1622272
P131	Q579968	Q59670
P106	Q713807	Q130857
P106	Q310819	Q2259451
P31	Q314424	Q5
P26	Q104326	Q234679
P2643	Q1070333	Q23662433
P161	Q212135	Q551239
P166	Q217298	Q1738793
P161	Q117396	Q241800
P166	Q9682	Q93988
P2936	Q1185	Q33410
P69	Q374346	Q179036
P131	Q1731	Q156199
P509	Q152505	Q12192
P1303	Q310343	Q5994
P161	Q201379	Q1713263
P509	Q184226	Q333495
P31	Q967130	Q5
P106	Q3630005	Q578109
P106	Q470260	Q10798782
P4132	Q5885	Q178435
P21	Q544165	Q6581072
P69	Q208590	Q981195
P2643	Q2000624	Q23662431
P106	Q334195	Q3282637
P1303	Q184249	Q17172850
P161	Q189267	Q271626
P1344	Q47050	Q10260332
P106	Q485901	Q10798782
P1303	Q185165	Q17172850
P166_P1346	Q196665	Q4220901	Q5608
P69	Q315208	Q309350
P106	Q492321	Q28389
P264	Q234691	Q202440
P2643	Q1140775	Q23622825
P31	Q30903	Q28640
P1303	Q596779	Q302497
P166	Q482907	Q6314213
P31	Q2302311	Q23002039
P106	Q1752144	Q214917
P31	Q1474100	Q21032617
P1411	Q223367	Q586356
P21	Q7322	Q6581097
P161	Q160060	Q5356850
P725	Q35951	Q237194
P1411	Q3577037	Q7243502
P31	Q11633	Q2695280
P166_P1686	Q8006	Q179808	Q854990
P2643	Q930291	Q23336065
P31	Q80135	Q5
P106	Q302794	Q10798782
P106	Q449863	Q2259451
P780	Q223591	Q35805
P166	Q381477	Q932650
P21	Q4029	Q6581072
P106	Q722042	Q33999
P21	Q362353	Q6581097
P161	Q1306890	Q3445813
P161	Q438406	Q232959
P106	Q352203	Q4991371
P106	Q167696	Q486748
P463	Q65379	Q19861084
P106	Q264565	Q822146
P106	Q1029467	Q2629392
P106	Q316313	Q201788
P21	Q3417981	Q6581097
P31	Q1353248	Q23002039
P166	Q299309	Q1131356
P69	Q504720	Q3064264
P161	Q321423	Q2830623
P279	Q3387717	Q15839299
P463	Q1068072	Q5059850
P31	Q309835	Q5
P31	Q80330	Q198
P1411	Q706513	Q5305712
P21	Q3121114	Q6581097
P2643	Q250205	Q23662490
P106	Q313020	Q10800557
P1346_P1686	Q41375	Q7150106	Q1122281
P2643	Q897052	Q23335494
P21	Q359665	Q6581097
P106	Q727151	Q639669
P106	Q170587	Q19204627
P106	Q314290	Q948329
P2643	Q666128	Q23662490
P106	Q954184	Q19204627
P106	Q1251736	Q19841381
P166	Q314215	Q19360203
P106	Q84233	Q36180
P106	Q544465	Q33999
P264	Q207197	Q1046707
P69	Q482907	Q5726151
P31	Q232098	Q5
P710	Q748780	Q190949
P106	Q484881	Q3282637
P166	Q1752144	Q1111310
P2293_P459_P459	Q12174	Q18048616	Q1098876	Q23190853
P26	Q228862	Q316051
P106	Q1356427	Q3282637
P1411	Q886	Q3131545
P69	Q459925	Q13371
P31	Q9215	Q5
P161	Q19570	Q603317
P161	Q438406	Q270382
P2643	Q2303536	Q23662768
P31	Q1368943	Q12136
P106	Q1339	Q1259917
P106	Q979312	Q33999
P106	Q231391	Q10800557
P106	Q35610	Q28389
P21	Q447960	Q6581097
P5642	Q12192	Q199804
P725	Q210311	Q356156
P31	Q1179599	Q3918
P69	Q28591	Q128047
P1344	Q134916	Q131075
P166	Q190379	Q5709276
P106	Q152388	Q14915627
P31	Q1334830	Q5
P69	Q256164	Q691283
P106	Q233546	Q10800557
P69	Q2615641	Q1414326
P106	Q862316	Q3282637
P1050	Q317427	Q12195
P106	Q169566	Q6625963
P166	Q190998	Q908858
P161	Q2842976	Q591270
P106	Q272972	Q3282637
P161	Q656118	Q311453
P31	Q298682	Q5
P31	Q467561	Q5398426
P2643	Q627271	Q23662426
P106	Q299208	Q158852
P106	Q210059	Q8246794
P106	Q1075796	Q7042855
P166	Q25973	Q15056034
P607	Q5816	Q170314
P166	Q2306	Q179191
P2643	Q1193547	Q23623487
P31	Q2627090	Q5
P106	Q212002	Q3501317
P69	Q311267	Q751612
P106	Q191755	Q3282637
P106	Q40791	Q43845
P264	Q184217	Q203059
P463	Q51537	Q463303
P161	Q19570	Q822780
P2936	Q1164	Q56306
P31	Q1144673	Q3918
P106	Q372311	Q33999
P166	Q442309	Q1277463
P21	Q104081	Q6581097
P69	Q282722	Q4062566
P2094	Q318922	Q35554451
P1411	Q223367	Q1377738
P31	Q805221	Q28640
P69	Q6848167	Q5189332
P106	Q708153	Q10798782
P170	Q20922	Q191716
P31	Q1175691	Q5
P161	Q2085	Q236247
P161	Q19570	Q271616
P106	Q7808398	Q28389
P69	Q515095	Q49114
P166	Q336185	Q1131356
P106	Q3454165	Q10798782
P2643	Q1191335	Q23662734
P1346_P1686	Q255032	Q217110	Q816016
P21	Q374093	Q6581097
P241	Q435271	Q9212
P166	Q435920	Q928314
P31	Q157808	Q875538
P1344	Q633	Q193740
P161	Q1146194	Q335598
P21	Q356309	Q6581097
P106	Q2829373	Q28389
P161	Q318766	Q3952813
P5008	Q1779	Q5460604
P1346_P1686	Q2294705	Q262267	Q930332
P161	Q117396	Q262278
P106	Q250905	Q488205
P166	Q1544904	Q1044427
P2293_P459_P459	Q8277	Q18038635	Q1098876	Q23190853
P2293_P459_P459	Q188874	Q18035617	Q1098876	Q23190853
P161	Q378311	Q5386105
P161	Q824192	Q1255263
P1346_P1686	Q617869	Q43259	Q2551572
P21	Q4547	Q6581097
P21	Q43994	Q6581097
P161	Q4529	Q464425
P106	Q72869	Q2526255
P106	Q194280	Q33999
P2293_P459_P459	Q8277	Q18054463	Q1098876	Q23190853
P106	Q201538	Q14915627
P264	Q213793	Q1795027
P161_P453	Q218035	Q1375823	Q6766837
P1346_P1686	Q2294705	Q190998	Q687600
P1303	Q596779	Q6607
P1411	Q886	Q7669613
P161	Q199853	Q483379
P166_P1686	Q468339	Q1113428	Q10998279
P21	Q315099	Q6581097
P1343	Q41585	Q2657718
P31	Q238924	Q5
P161	Q147235	Q6276792
P1343	Q55221	Q2657718
P106	Q130799	Q36834
P2643	Q897052	Q23662432
P166	Q103946	Q857933
P509	Q596137	Q11081
P166	Q311253	Q19360203
P106	Q3070813	Q2259451
P1411	Q192837	Q7426020
P166	Q80284	Q48757486
P69	Q213512	Q15142
P2936	Q3206	Q5517764
P106	Q214309	Q897317
P106	Q206856	Q948329
P1411	Q8539	Q596294
P106	Q102341	Q33999
P1344	Q47050	Q1477177
P106	Q2531955	Q36834
P106	Q248179	Q2259451
P106	Q1175691	Q28389
P1346_P1686	Q2544851	Q181413	Q830430
P166	Q6722	Q15056034
P21	Q2966652	Q6581097
P2643	Q1848657	Q23334891
P161	Q244803	Q386249
P161	Q117396	Q2314842
P166	Q410	Q3174253
P1411	Q347461	Q17008985
P31	Q223591	Q12136
P106	Q26876	Q10798782
P2747	Q1325828	Q23830576
P161	Q117396	Q202461
P31	Q610903	Q378427
P106	Q223117	Q10798782
P106	Q104081	Q2259451
P161	Q147235	Q1992967
P21	Q3157185	Q6581097
P2293_P459_P459	Q131755	Q18046338	Q1098876	Q23190853
P2293_P459_P459	Q12174	Q18038119	Q1098876	Q23190853
P2643	Q168000	Q23622771
P106	Q153018	Q3282637
P451	Q55469	Q228607
P161	Q321423	Q1255263
P21	Q48619	Q6581097
P106	Q543171	Q3282637
P106	Q2702252	Q33999
P31	Q483915	Q6881511
P1303	Q194287	Q6607
P1303	Q703767	Q105891
P21	Q499097	Q6581097
P161	Q1139311	Q103774
P2643	Q52413	Q23662433
P69	Q316313	Q657222
P69	Q1124	Q333886
P3438	Q5816	Q2071708
P166	Q134333	Q12201477
P31	Q733498	Q21198342
P106	Q187364	Q33999
P1853	Q294927	Q19831451
P106	Q296872	Q36834
P69	Q228852	Q558922
P1303	Q215546	Q17172850
P161	Q223977	Q23072512
P161	Q23558	Q444373
P106	Q319693	Q3387717
P106	Q1983712	Q3282637
P161	Q635632	Q365844
P264	Q359416	Q1881437
P5008	Q289	Q5460604
P106	Q148732	Q947873
P106	Q104027	Q2259451
P463	Q49213	Q647039
P166	Q310343	Q191874
P166	Q1270283	Q6761828
P166	Q8023	Q50621171
P69	Q3218669	Q608723
P31	Q866012	Q875538
P1346_P1686	Q1414482	Q47059	Q247854
P31	Q5482740	Q28640
P1303	Q924232	Q78987
P161	Q147235	Q44442
P1830	Q21077	Q1998195
P21	Q5679	Q6581097
P31	Q49087	Q1620945
P135	Q184226	Q35277
P106	Q641975	Q33999
P725	Q182153	Q150651
P1303	Q3307638	Q6607
P1411	Q104146	Q1534911
P1411_P1686	Q230378	Q5261137	Q1569216
P463	Q235952	Q3308284
P1343	Q84151	Q2657718
P69	Q184103	Q7247941
P166_P1346	Q23609	Q3473897	Q229957
P106	Q1983712	Q706364
P1303	Q704700	Q6607
P31	Q458252	Q5
P161	Q156597	Q3157229
P1344	Q47050	Q101730
P106	Q232109	Q2259451
P166	Q23559	Q93932
P69	Q315087	Q6806876
P31	Q314397	Q5
P2643	Q139901	Q23622771
P161	Q117396	Q7791601
P31	Q221668	Q12136
P106	Q220883	Q482980
P106	Q35610	Q8178443
P2643	Q4493503	Q23622825
P279	Q947873	Q44508716
P106	Q1347095	Q9648008
P106	Q484365	Q3282637
P106	Q1339	Q5371902
P161	Q189267	Q239600
P106	Q83484	Q1028181
P1343	Q131183	Q2657718
P161	Q147235	Q467496
P21	Q933904	Q6581097
P106	Q446717	Q10800557
P106	Q1660432	Q2526255
P106	Q214582	Q639669
P106	Q1373347	Q639669
P463	Q230492	Q5275906
P26	Q47426	Q433201
P106	Q843552	Q639669
P1346_P1686	Q1056265	Q503095	Q467388
P161	Q23609	Q454272
P2643	Q1065809	Q23622707
P31	Q1377738	Q223740
P106	Q26424	Q2259451
P31	Q202801	Q5
P161	Q117396	Q314704
P106	Q298368	Q10800557
P106	Q352730	Q3282637
P31	Q6496408	Q921469
P106	Q152388	Q2306091
P106	Q912103	Q10798782
P106	Q298255	Q488205
P106	Q139330	Q10800557
P106	Q180224	Q36834
P161	Q23558	Q16555505
P135	Q23559	Q6223
P2643	Q1138374	Q23622771
P2293_P459_P459	Q181257	Q18041733	Q1098876	Q23190853
P31	Q1472663	Q3918
P31	Q194393	Q6881511
P69	Q311976	Q761534
P106	Q3089275	Q2526255
P22	Q109232	Q960993
P2293_P459_P459	Q8277	Q18029085	Q1098876	Q23190853
P2936	Q1191	Q7907798
P106	Q517	Q372436
P2643	Q7401829	Q23662758
P106	Q528527	Q10800557
P1303	Q363019	Q17172850
P161	Q438406	Q256884
P1344	Q83459	Q47735
P106	Q165911	Q28389
P451	Q4617	Q16128113
P2936	Q1445	Q8097
P166	Q2720141	Q932650
P1303	Q213512	Q17172850
P31	Q47398	Q11862829
P106	Q117392	Q28389
P161	Q438406	Q266231
P106	Q3952813	Q5716684
P509	Q188969	Q12206
P241	Q35155	Q11220
P31	Q1056265	Q378427
P106	Q42574	Q3455803
P1411_P1686	Q633	Q6314039	Q722468
P106	Q528496	Q639669
P725	Q210311	Q229197
P2643	Q1887879	Q23622771
P106	Q779151	Q28389
P412	Q712860	Q31687
P31	Q2712978	Q5
P4952	Q407426	Q51139288
P106	Q231472	Q15981151
P106	Q236842	Q10800557
P725	Q210311	Q312705
P106	Q106275	Q5716684
P21	Q6933443	Q6581097
P1343	Q7294	Q17329836
P106	Q229176	Q3282637
P21	Q315271	Q6581097
P1344	Q163534	Q101730
P166	Q103774	Q5593905
P31	Q184885	Q5
P106	Q80135	Q486748
P161	Q19570	Q232541
P31	Q205739	Q5
P1346_P1686	Q1414482	Q464932	Q6431292
P106	Q15873	Q947873
P161	Q804434	Q459902
P166	Q317567	Q1111310
P106	Q349350	Q10800557
P21	Q539156	Q6581097
P166	Q410	Q1351451
P69	Q230448	Q487556
P279	Q212961	Q5526839
P161_P453	Q147235	Q329744	Q50385676
P106	Q165911	Q5716684
P279	Q78987	Q6607
P25	Q467423	Q3935006
P26	Q117995	Q335376
P31	Q178197	Q28640
P279	Q187255	Q383126
P135	Q156193	Q1338153
P166	Q1365108	Q2687578
P106	Q962103	Q488205
P2293_P459_P459	Q181257	Q18045480	Q1098876	Q23190853
P21	Q313256	Q6581097
P106	Q272952	Q28389
P161	Q23558	Q1532012
P1303	Q4491	Q17172850
P106	Q705715	Q639669
P31	Q150651	Q5
P31	Q1333848	Q5
P106	Q349852	Q10800557
P361	Q1144673	Q170027
P264	Q1651279	Q1130708
P161	Q147235	Q463673
P1343	Q631369	Q58488719
P106	Q229050	Q18814623
P264	Q727151	Q654283
P31	Q211082	Q5
P31	Q350721	Q5
P2293_P459_P459	Q12199	Q18049302	Q1098876	Q23190853
P166	Q41163	Q640353
P106	Q2341602	Q33999
P69	Q313039	Q49114
P106	Q35648	Q372436
P31	Q230420	Q5
P2643	Q7691246	Q23662490
P106	Q318509	Q28389
P69	Q42402	Q645663
P31	Q352180	Q5
P264	Q1347095	Q2386070
P106	Q230665	Q2259451
P21	Q1370195	Q6581097
P31	Q4115622	Q5
P463	Q1887879	Q647039
P1303	Q5570613	Q6607
P485	Q93157	Q814779
P463	Q1458113	Q5059850
P1303	Q219772	Q6607
P106	Q318509	Q1476215
P21	Q311769	Q6581097
P31	Q1432645	Q9826
P451	Q180224	Q51023
P21	Q1707954	Q6581097
P26	Q117392	Q19867103
P106	Q42574	Q81096
P1411	Q39212	Q37922
P106	Q313671	Q10800557
P1303	Q223769	Q17172850
P69	Q499644	Q4968912
P106	Q2632	Q3282637
P101	Q9391	Q5891
P106	Q230203	Q2059704
P106	Q503119	Q40348
P166	Q460095	Q791135
P106	Q372073	Q3282637
P31	Q4354624	Q5
P106	Q316032	Q948329
P106	Q2383623	Q639669
P106	Q11617	Q5716684
P2293_P459_P459	Q11081	Q18052848	Q1098876	Q23190853
P2643	Q3444679	Q23662758
P106	Q208590	Q2259451
P106	Q386053	Q10800557
P31	Q281034	Q5
P5008	Q349	Q5460604
P106	Q94041	Q15627169
P31	Q298255	Q5
P106	Q315069	Q28389
P2643	Q579968	Q23334765
P2438	Q494722	Q181799
P2936	Q3206	Q3913852
P106	Q267422	Q10798782
P106	Q313013	Q488205
P21	Q5112078	Q6581097
P106	Q106997	Q36180
P264	Q309941	Q5086379
P1340	Q199369	Q17122705
P106	Q1319539	Q28389
P106	Q464425	Q10798782
P69	Q360477	Q860527
P106	Q352540	Q33999
P106	Q31225	Q7042855
P749	Q9219	Q9212
P725	Q34397	Q215488
P1376	Q1731	Q27916522
P106	Q47426	Q36180
P106	Q352730	Q13235160
P1343	Q21208	Q2657718
P166	Q188969	Q52382875
P166	Q40787	Q5357263
P166	Q229176	Q135498
